"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2019-10-03 - Canadiens 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","65","74","66","52.86","61","54","53.04","43","36","54.43","3","3","50.00","4.64","2.67","63.44","40","24","62.50","22","10","68.75","16","6","72.73","3","2","60.00","18.75","66.67","18","14","56.25","7","10","41.18","0","1","0.00","0.00","90.00","32","36","47.06","19","18","51.35","0","0","-","0.00","100.00","6.98","91.67","0.986","18680"
"2019-10-05 - Hurricanes 3, Capitals 2","Carolina Hurricanes","Limited ReportFull Report","64.066666666667","48","66","42.11","40","52","43.48","28","34","45.16","3","2","60.00","2.5","3.18","44.06","25","31","44.64","9","10","47.37","8","9","47.06","2","2","50.00","25.00","77.78","16","21","43.24","8","11","42.11","1","0","100.00","12.50","100.00","22","33","40.00","11","13","45.83","0","0","-","0.00","100.00","10.71","94.12","1.048","18573"
"2019-10-06 - Lightning 3, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","61.883333333333","86","29","74.78","65","20","76.47","44","13","77.19","4","3","57.14","3.55","1.01","77.81","40","15","72.73","14","3","82.35","13","3","81.25","2","0","100.00","15.38","100.00","26","12","68.42","12","4","75.00","0","2","0.00","0.00","50.00","39","13","75.00","17","6","73.91","2","1","66.67","11.76","83.33","9.09","76.92","0.860","14125"
"2019-10-08 - Hurricanes 6, Panthers 3","Carolina Hurricanes","Limited ReportFull Report","60","49","81","37.69","39","56","41.05","35","50","41.18","6","3","66.67","4.18","4.24","49.65","26","45","36.62","14","19","42.42","14","17","45.16","4","2","66.67","28.57","88.24","12","26","31.58","8","16","33.33","2","1","66.67","25.00","93.75","22","34","39.29","13","16","44.83","0","0","-","0.00","100.00","17.14","94.00","1.111","11638"
"2019-10-11 - Islanders 2, Hurricanes 5","Carolina Hurricanes","Limited ReportFull Report","60","68","53","56.20","53","32","62.35","40","19","67.80","5","2","71.43","4.58","1.98","69.82","37","24","60.66","18","5","78.26","13","3","81.25","3","1","75.00","23.08","66.67","19","19","50.00","9","4","69.23","2","0","100.00","22.22","100.00","28","22","56.00","15","10","60.00","0","1","0.00","0.00","90.00","12.50","89.47","1.020","14875"
"2019-10-12 - Blue Jackets 3, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","50","60","45.45","39","50","43.82","32","35","47.76","2","3","40.00","1.83","4.02","31.26","22","30","42.31","8","9","47.06","7","7","50.00","0","2","0.00","0.00","71.43","14","21","40.00","9","12","42.86","1","1","50.00","11.11","91.67","26","22","54.17","15","12","55.56","1","0","100.00","6.67","100.00","6.25","91.43","0.977","16224"
"2019-10-15 - Hurricanes 2, Kings 0","Carolina Hurricanes","Limited ReportFull Report","60","52","60","46.43","33","48","40.74","23","31","42.59","2","0","100.00","2.68","3.19","45.62","21","18","53.85","9","12","42.86","5","7","41.67","2","0","100.00","40.00","100.00","12","6","66.67","6","2","75.00","0","0","-","0.00","100.00","28","36","43.75","11","20","35.48","0","0","-","0.00","100.00","8.70","100.00","1.087","14219"
"2019-10-16 - Hurricanes 2, Sharks 5","Carolina Hurricanes","Limited ReportFull Report","60","59","36","62.11","46","25","64.79","38","22","63.33","2","5","28.57","2.57","3.57","41.91","24","23","51.06","13","10","56.52","12","10","54.55","1","4","20.00","8.33","60.00","11","13","45.83","9","7","56.25","1","1","50.00","11.11","85.71","23","7","76.67","13","4","76.47","0","0","-","0.00","100.00","5.26","77.27","0.825","15143"
"2019-10-18 - Hurricanes 2, Ducks 4","Carolina Hurricanes","Limited ReportFull Report","60","45","39","53.57","37","27","57.81","24","20","54.55","2","4","33.33","1.59","2.73","36.69","15","19","44.12","6","10","37.50","6","6","50.00","1","3","25.00","16.67","50.00","9","9","50.00","5","5","50.00","0","0","-","0.00","100.00","28","17","62.22","13","9","59.09","1","1","50.00","7.69","88.89","8.33","80.00","0.883","14755"
"2019-10-24 - Hurricanes 3, Blue Jackets 4","Carolina Hurricanes","Limited ReportFull Report","63.466666666667","52","49","51.49","33","37","47.14","24","31","43.64","3","4","42.86","2.15","2.24","49.00","30","27","52.63","12","10","54.55","7","8","46.67","3","2","60.00","42.86","75.00","18","17","51.43","6","12","33.33","0","1","0.00","0.00","91.67","21","17","55.26","10","9","52.63","0","1","0.00","0.00","88.89","12.50","87.10","0.996","15398"
"2019-10-26 - Blackhawks 0, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","60","54","68","44.26","45","48","48.39","31","32","49.21","4","0","100.00","3","2.79","51.84","30","27","52.63","15","11","57.69","10","7","58.82","2","0","100.00","20.00","100.00","15","16","48.39","7","5","58.33","1","0","100.00","14.29","100.00","18","34","34.62","12","18","40.00","1","0","100.00","8.33","100.00","12.90","100.00","1.129","15738"
"2019-10-29 - Flames 1, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","63","49","56.25","44","40","52.38","28","29","49.12","2","1","66.67","3.33","2.82","54.14","29","26","52.73","10","11","47.62","4","10","28.57","0","0","-","0.00","100.00","19","15","55.88","8","8","50.00","1","1","50.00","12.50","87.50","30","17","63.83","16","6","72.73","1","0","100.00","6.25","100.00","7.14","96.55","1.037","13864"
"2019-11-01 - Red Wings 3, Hurricanes 7","Carolina Hurricanes","Limited ReportFull Report","60","54","60","47.37","45","49","47.87","34","32","51.52","7","3","70.00","5.14","2.89","64.02","33","28","54.10","22","16","57.89","17","12","58.62","6","2","75.00","35.29","83.33","11","12","47.83","5","4","55.56","1","1","50.00","20.00","75.00","17","26","39.53","10","12","45.45","0","0","-","0.00","100.00","20.59","90.63","1.112","15383"
"2019-11-02 - Devils 5, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","54","46","54.00","41","36","53.25","27","26","50.94","3","5","37.50","2.58","3.61","41.64","29","29","50.00","14","15","48.28","9","11","45.00","3","4","42.86","33.33","63.64","15","14","51.72","4","9","30.77","0","0","-","0.00","100.00","23","13","63.89","14","4","77.78","0","0","-","0.00","100.00","11.11","80.77","0.919","15079"
"2019-11-05 - Hurricanes 1, Flyers 4","Carolina Hurricanes","Limited ReportFull Report","60","61","43","58.65","48","32","60.00","34","28","54.84","1","4","20.00","3.3","1.56","67.91","21","18","53.85","12","7","63.16","8","5","61.54","1","2","33.33","12.50","60.00","9","11","45.00","7","7","50.00","0","2","0.00","0.00","71.43","31","15","67.39","18","10","64.29","0","0","-","0.00","100.00","2.94","85.71","0.887","16172"
"2019-11-07 - Rangers 4, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","90","38","70.31","73","34","68.22","47","19","71.21","2","4","33.33","4.49","2.49","64.27","52","16","76.47","22","10","68.75","11","5","68.75","0","3","0.00","0.00","40.00","30","6","83.33","17","3","85.00","1","0","100.00","5.88","100.00","34","17","66.67","15","10","60.00","1","1","50.00","6.67","90.00","4.26","78.95","0.832","13878"
"2019-11-09 - Hurricanes 1, Senators 4","Carolina Hurricanes","Limited ReportFull Report","60","67","52","56.30","49","41","54.44","39","30","56.52","1","4","20.00","2.19","2.13","50.71","28","17","62.22","8","9","47.06","7","9","43.75","0","4","0.00","0.00","55.56","20","8","71.43","10","1","90.91","0","0","-","0.00","100.00","31","29","51.67","18","19","48.65","1","0","100.00","5.56","100.00","2.56","86.67","0.892","12276"
"2019-11-11 - Senators 2, Hurricanes 8","Carolina Hurricanes","Limited ReportFull Report","60","75","50","60.00","56","37","60.22","43","29","59.72","8","2","80.00","4.44","2.61","63.01","39","24","61.90","14","9","60.87","10","7","58.82","4","1","80.00","40.00","85.71","25","15","62.50","11","6","64.71","3","0","100.00","27.27","100.00","33","16","67.35","22","10","68.75","1","1","50.00","4.55","90.00","18.60","93.10","1.117","12356"
"2019-11-14 - Hurricanes 5, Sabres 4","Carolina Hurricanes","Limited ReportFull Report","62.466666666667","48","46","51.06","37","41","47.44","29","33","46.77","5","4","55.56","1.82","2.32","43.91","28","24","53.85","6","11","35.29","6","10","37.50","3","3","50.00","50.00","70.00","22","13","62.86","11","7","61.11","2","1","66.67","18.18","85.71","16","20","44.44","10","15","40.00","0","0","-","0.00","100.00","17.24","87.88","1.051","16603"
"2019-11-16 - Hurricanes 4, Wild 3","Carolina Hurricanes","Limited ReportFull Report","61.55","45","58","43.69","35","46","43.21","28","35","44.44","4","3","57.14","1.75","2.64","39.82","17","21","44.74","10","14","41.67","7","12","36.84","2","2","50.00","28.57","83.33","7","7","50.00","5","3","62.50","1","1","50.00","20.00","66.67","18","32","36.00","13","19","40.63","1","0","100.00","7.69","100.00","14.29","91.43","1.057","17101"
"2019-11-19 - Hurricanes 4, Blackhawks 2","Carolina Hurricanes","Limited ReportFull Report","60","64","65","49.61","44","42","51.16","33","32","50.77","4","2","66.67","4.69","3.45","57.63","40","35","53.33","16","17","48.48","12","14","46.15","3","1","75.00","25.00","92.86","24","18","57.14","8","9","47.06","1","1","50.00","12.50","88.89","18","26","40.91","11","8","57.89","0","0","-","0.00","100.00","12.12","93.75","1.059","21325"
"2019-11-21 - Flyers 5, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","58","47","55.24","45","33","57.69","36","23","61.02","3","5","37.50","3.78","2.3","62.24","35","22","61.40","16","9","64.00","16","7","69.57","2","2","50.00","12.50","71.43","19","13","59.38","8","5","61.54","0","1","0.00","0.00","80.00","21","20","51.22","11","8","57.89","1","1","50.00","9.09","87.50","8.33","78.26","0.866","14734"
"2019-11-23 - Panthers 2, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","60","74","44","62.71","54","37","59.34","34","23","59.65","4","2","66.67","3.83","1.82","67.75","38","15","71.70","15","10","60.00","7","6","53.85","0","2","0.00","0.00","66.67","23","5","82.14","9","3","75.00","2","0","100.00","22.22","100.00","26","25","50.98","13","13","50.00","1","0","100.00","7.69","100.00","11.76","91.30","1.031","18159"
"2019-11-24 - Hurricanes 2, Red Wings 0","Carolina Hurricanes","Limited ReportFull Report","60","60","39","60.61","48","29","62.34","36","19","65.45","2","0","100.00","2.7","1.28","67.91","24","17","58.54","5","8","38.46","4","6","40.00","1","0","100.00","25.00","100.00","19","9","67.86","14","4","77.78","0","0","-","0.00","100.00","34","19","64.15","16","8","66.67","1","0","100.00","6.25","100.00","5.56","100.00","1.056","18726"
"2019-11-27 - Hurricanes 2, Rangers 3","Carolina Hurricanes","Limited ReportFull Report","60","80","50","61.54","58","39","59.79","43","25","63.24","2","3","40.00","3.99","4.03","49.78","37","31","54.41","21","15","58.33","18","11","62.07","2","2","50.00","11.11","81.82","16","16","50.00","8","8","50.00","0","1","0.00","0.00","87.50","33","15","68.75","14","4","77.78","0","0","-","0.00","100.00","4.65","88.00","0.927","17269"
"2019-11-29 - Predators 3, Hurricanes 0","Carolina Hurricanes","Limited ReportFull Report","60","66","45","59.46","50","38","56.82","31","28","52.54","0","3","0.00","3.18","2.89","52.43","33","22","60.00","15","10","60.00","13","8","61.90","0","2","0.00","0.00","75.00","18","12","60.00","5","7","41.67","0","1","0.00","0.00","85.71","25","18","58.14","9","10","47.37","0","0","-","0.00","100.00","0.00","89.29","0.893","18680"
"2019-11-30 - Hurricanes 3, Lightning 2","Carolina Hurricanes","Limited ReportFull Report","60","40","73","35.40","31","53","36.90","24","38","38.71","3","2","60.00","1.58","2.82","35.88","19","35","35.19","6","10","37.50","3","10","23.08","1","1","50.00","33.33","90.00","13","25","34.21","9","17","34.62","2","1","66.67","22.22","94.12","17","36","32.08","8","10","44.44","0","0","-","0.00","100.00","12.50","94.74","1.072","19092"
"2019-12-03 - Hurricanes 0, Bruins 2","Carolina Hurricanes","Limited ReportFull Report","60","49","48","50.52","39","37","51.32","24","34","41.38","0","2","0.00","1.56","1.83","45.94","18","25","41.86","7","5","58.33","4","5","44.44","0","2","0.00","0.00","60.00","11","20","35.48","5","14","26.32","0","0","-","0.00","100.00","29","22","56.86","14","15","48.28","0","0","-","0.00","100.00","0.00","94.12","0.941","17850"
"2019-12-05 - Sharks 2, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","65","52","58","47.27","42","42","50.00","29","30","49.15","2","2","50.00","2.46","2.66","48.06","32","30","51.61","12","18","40.00","8","14","36.36","2","1","66.67","25.00","92.86","20","12","62.50","14","3","82.35","0","0","-","0.00","100.00","16","23","41.03","6","11","35.29","0","1","0.00","0.00","90.91","6.90","93.33","1.002","14275"
"2019-12-07 - Wild 2, Hurricanes 6","Carolina Hurricanes","Limited ReportFull Report","60","60","47","56.07","50","35","58.82","40","24","62.50","6","2","75.00","4.22","2.53","62.55","25","20","55.56","11","10","52.38","8","6","57.14","3","1","75.00","37.50","83.33","14","10","58.33","8","5","61.54","1","1","50.00","12.50","80.00","30","20","60.00","22","10","68.75","1","0","100.00","4.55","100.00","15.00","91.67","1.067","18680"
"2019-12-10 - Hurricanes 6, Oilers 3","Carolina Hurricanes","Limited ReportFull Report","60","62","58","51.67","47","52","47.47","32","36","47.06","6","3","66.67","2.42","3.4","41.62","26","29","47.27","8","19","29.63","7","12","36.84","3","3","50.00","42.86","75.00","18","10","64.29","10","6","62.50","2","0","100.00","20.00","100.00","30","25","54.55","12","14","46.15","0","0","-","0.00","100.00","18.75","91.67","1.104","16175"
"2019-12-12 - Hurricanes 0, Canucks 1","Carolina Hurricanes","Limited ReportFull Report","60.666666666667","64","41","60.95","51","35","59.30","43","26","62.32","0","1","0.00","2.94","2.2","57.23","32","28","53.33","12","13","48.00","10","7","58.82","0","1","0.00","0.00","85.71","20","15","57.14","14","11","56.00","0","0","-","0.00","100.00","28","11","71.79","16","7","69.57","0","0","-","0.00","100.00","0.00","96.15","0.962","18626"
"2019-12-14 - Hurricanes 4, Flames 0","Carolina Hurricanes","Limited ReportFull Report","60","61","59","50.83","44","42","51.16","31","32","49.21","4","0","100.00","3.73","2.74","57.64","36","38","48.65","15","13","53.57","10","11","47.62","1","0","100.00","10.00","100.00","21","25","45.65","11","12","47.83","3","0","100.00","27.27","100.00","23","18","56.10","10","9","52.63","0","0","-","0.00","100.00","12.90","100.00","1.129","18853"
